id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29322719,Inner-city living at its best,4395940,David,,Hobart,-42.88464,147.32119,Entire home/apt,,3,1,2018-12-31,0.02,1,0,0,Exempt: This listing falls under the 'home sharing' exemption
711773960321557361,Beautiful 3 bedroom family home,9688143,Amy,,Hobart,-42.90132,147.3197,Entire home/apt,,5,0,,,1,0,0,Exempt: This listing falls under the 'home sharing' exemption
53531757,Spectacular Hobart River View Home,433480334,Lingling,,Clarence,-42.8469,147.34429,Entire home/apt,188,1,59,2024-03-02,2.23,4,150,21,PDPLANPMTP-2021/024332
777105797990055840,Room 2 - Bed & Breakfast (Derby),342106959,Steve,,Dorset,-41.09754,147.82402,Private room,,1,5,2023-03-10,0.35,3,0,0,"Exempt: This listing is a hotel, motel, or caravan park"
538093999188312524,Carriage House Studio - Your Central Pad,387690543,Anna,,Launceston,-41.4314,147.148926,Entire home/apt,137,1,321,2024-02-25,12.28,1,0,159,Exempt: This listing falls under the 'home sharing' exemption
25844479,"Design room, stylish and clean in Sandy Bay",193965274,Liz,,Hobart,-42.91428,147.34144,Private room,,1,1,2018-06-25,0.01,2,0,0,
933718897992610952,"Fenton Cottage easy stroll to Sandy Bay, Hobart.",525187357,Stephanie,,Hobart,-42.8942723,147.3205013,Entire home/apt,197,2,27,2024-02-26,3.57,1,0,27,PLN-23286
969333,"Huon Valley House: luxury, layout, location",1951031,Angela,,Huon Valley,-43.01292,147.03444,Entire home/apt,209,1,282,2024-03-08,2.12,1,328,36,VA-3/2017
927129439895207561,Lady Williams Room,518271284,Carolyn,,Huon Valley,-43.01567520516701,147.04030175202544,Private room,220,1,0,,,3,365,0,28/2000
51219205,Port View Escape,130839986,James,,Dorset,-41.01045,147.39573,Entire home/apt,224,1,34,2023-11-11,1.14,18,308,2,2021/63
50981134,Bridport short stay on Murray,27345188,Alison,,Dorset,-41.011734,147.394791,Entire home/apt,150,2,18,2024-03-02,0.61,1,196,13,694821
933425356818622516,The View @ Spring Beach,413417081,Katie,,Glamorgan/Spring Bay,-42.58103668709377,147.9085919985599,Entire home/apt,229,2,3,2023-12-28,0.54,1,242,3,DA 2020 / 204
42023861,Freycinet Coastal Retreat,25626715,Freycinet Holiday Houses,,Glamorgan/Spring Bay,-42.10982,148.24568,Entire home/apt,501,2,111,2024-02-24,2.25,110,260,25,DA2018/233
963526698688275904,Tatlows Beach Cottage,396017605,Sarah,,Circular Head,-40.76373902928949,145.2915356694207,Entire home/apt,158,2,21,2024-03-03,4.88,1,7,21,DA 2023/042
53562564,Fresh Ayre Farm,69327015,Ian,,Huon Valley,-42.9928,146.91644,Entire home/apt,170,2,48,2024-02-17,1.82,1,333,16,VA112021
37544964,Havinago Lodge,259652831,Helen,,Dorset,-41.14017,147.79248,Entire home/apt,320,2,131,2024-02-23,2.54,17,305,23,2019/28 469046819527
838555977366495243,Number Nine,371545602,Natalie,,West Coast,-42.15142471578979,145.31767822802067,Entire home/apt,193,2,61,2024-03-07,4.93,1,334,59,DA2023-07
619017697224809882,Seaforest Cottage - Water views,17099109,Montana,,Tasman,-43.02948,147.86999,Entire home/apt,304,2,39,2024-02-23,1.83,1,273,16,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
1100999419241330148,Blue Ridge Haven Villa 1,104946303,Michelle,,King Island,-39.932756334416005,143.85561939431992,Entire home/apt,300,3,0,,,2,258,0,22024/03
25954191,Two Bedroom Seaview Apartment,2834904,Clint,,Circular Head,-40.76165,145.27883,Private room,341,1,33,2024-01-05,0.50,9,332,6,
45365726,Binalong-ride Beach Shack. Dog Friendly.,362981106,Lee And Chris,,Break O'Day,-41.24415,148.29065,Entire home/apt,226,2,147,2024-03-08,3.81,1,71,63,Exempt: This listing falls under Section 12 of the Land Use Planning and Approvals Act 1993
29403089,Macintosh cottages - cottage 2,221476218,Margaret,,West Coast,-42.152,145.3237,Entire home/apt,180,2,357,2024-03-06,5.48,2,316,56,DA 2019 /00040
